create_seventh_province_desc;With the subjugation of the Gepids, we have at long last re-united the old province of Hispania. Let it be known that our rule over our sunny peninsula is unquestionable.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create_holyromanempire_desc;Ever since the deposition of Romulus Agustulus, the lands of the former Western Roman Empire lay at the mercy of Germanic Kingdoms, both Arian and Pagan. Yet, though conquest after conquest, and laying low the Goths, Burgundians, and the barbarous tribes across the Rhine, we've forged a mighty polity. It's time to travel to Rome to crown our leader as not only the defender of Christendom, but the sole Emperor of the West.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create_holyromanempire_title;Holy Roman Emperor;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burgundian_integration_title;Subjugation of the Burgundians;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burgundian_integration_desc;With their kingdom dismantled, it's time to integrate the Burgundians as subjects of our ever expanding Frankish realm, to solidify our rule over Gaul.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frisian_conquest_title;The Marsh Marches;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frisian_conquest_desc;The Frisians are a brother people to us, and their mastery of the waves proves vital in this day and age, it's time to integrate them into our polity.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to_the_elbe_title;To The Elbe;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to_the_elbe_desc;As our people move west, we run into ever more resistant Niemiecki peoples. With our push west, we've finally hit the Elbe River and the Atlantic Ocean, freeing us from the tyrrany of foreign powers seeking to confine us to the inland seas. Now that our conquest is complete, the Wendish lands are an integral part of our Motherland!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bohemian_gates_title;Bohemian Gates;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bohemian_gates_desc;With the Lombards, Gepids, and other eastern germanic tribes now evicted, our Motherland extends to the newly securced Bohemian Gates, and such gates shall withstand the fires of hell if need be.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secure_the_steppe_title;Secure the Steppe;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secure_the_steppe_desc;Since time immemorial, savage mauarders decended upon us from the eurasian steppe, making slaves out of women and corpses of men. But with rapid changes in how war is fought, the horse nomads have lost their edge. We have driven them from the steppe, and discovered that the plains to water their horses can grow enough to feed our entire nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storm_the_heavens_title;Storm The Heavens;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storm_the_heavens_desc;The Finnic peoples are laid low, and we now stand as masters of the infinite forests of the north.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accept_dacian_title;The Forgotten Romans;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accept_dacian_desc;While the Roman province of Dacia has been abandoned since the death of Constantine, the Roman settlers sayed and retreated to the mountians and avoided the many barbarians rampaging in their lands. Now that they live under us, it's time we embrace our status as a Roman sucessor and integrate them into our realm.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integrate_the_balkans_title;Taming the Goths;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integrate_the_balkans_desc;With the Ostrogothic kingdom defeated and driven out of Pannonia, we've captured the initial gothic settlments in the Balkans. As fellow Germans, we can easily make these people loyal subjects as opposed to a scorned minority.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaulic_domination_title;Gallic Dominaiton;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaulic_domination_desc;The dream of Clovis is made manifest, and the Goths are at long last driven out of the Gallic interior. This land is the sole dominion of the Franks, and let that be known until "Gaul" is nothing more than a geographic term!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaulic_domination_goths_title;Gallic Dominaiton;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaulic_domination_goths_desc;Despite the best efforts of the Frankish hordes, the Loire holds as the bastion of the ever expanding Gothic realm. Southern Gaul is where our people first setteled, and shall be our home until the end of days!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_malaya_title;Form Malaya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_malaya_desc;Our great leader has united the disperate Malay tribes into a single state, one that will not only keep us safe from foreign empires, but allow us to rule the waves ourselves!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhuddism_in_japan_title;Bhuddism in Japan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhuddism_in_japan_desc;Bhuddism has seen rapid growth throughout our nation and a greater presence in Japanese society largely due to Korean Missionaries. We must adopt to these new ways.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unify_nihongo_title;Establish Nihongo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unify_nihongo_desc;Our control over the entire island has been solidified and its now finally time to look past our coast.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
plague_jst;Plague of Justinian;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unite_caucasus_parthia_title;Unite the Caucasus;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unite_caucasus_parthia_desc;The Arsacid Dynasty in Parthian Albania stands in a precarious position, sandwiched between two militarized borders to its east and west. If nothing is done to remedy this, soon there may well no longer be an independent Parthian state to speak of. Uniting the Caucasus may well prove to be our only way to secure continued independence.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arsacid_ambition_title;The Arsacid Ambition;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arsacid_ambition_desc;The Arsacid Dynasty of Parthia has been down on its luck for centuries, ever since the Battle of Hormozdgan ended its domain over Persia and forced the remnant Arsacid rulers in Albania and Armenia to acknowledge Sassanian supremacy. With our foothold in the Caucasus secure, we can reclaim the rightful homelands of the Arsacid dynasty.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arsacids_triumphant_title;Arsacids Triumphant;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arsacids_triumphant_desc;With the Arsacid realm finally reencompassing the territories of the Sassanian Persian Empire, we can proclaim the Parthian Empire restored, under its first Christian monarch and under the rightful rule of Vachagan III.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
